id;created_at;text;label
0;2021-03-01T01:41:35.000Z;@RadioElshinta buat apa sih berita tayang berulang2 ttg nakes, polwan yg teriak2 waktu mau di vaksin. Norak banget. Malu2in..;-1
1;2021-03-01T02:40:20.000Z;@PMI_DKI_Jakarta Min mau tanyaa.. kalau sudah vaksin covid 19, apakah boleh tetap donor darah sesuai jadwal?;0
2;2021-03-01T03:21:47.000Z;"Kita memasuki Maret 2021. Ini update Covid-19 di negara kita. Jalan perjuangan Indonesia keluar dari wabah.

Kasus terkonfirmasi : 1.33 juta

Pasien sembuh : 1.14 juta

Dalam perawatan : 155 ribu

Vaksinasi 1 : 1.69 juta

Vaksinasi 2 : 998 ribu

Tetap jaga 3M, nutrisi, ventilasi.";0
3;2021-03-01T03:24:07.000Z;RT @jayakabajay: Pandemi Corona di Indonesia udah mau setaun aja nih. Mau bilang ngga berasa tapi kenyataannya berasa banget asli. Mudah-mudahan aja bisa segera hilang dengan adanya vaksinasi dan semua bisa segera normal kembali.;1
4;2021-03-01T04:04:36.000Z;@rkhairu Ada temen gw juga nolak vaksin;-1
5;2021-03-01T04:31:54.000Z;@bramadr Keknya ikut yang perusahaan, Mas. Tahu deh pakai vaksin yang mana.;0
6;2021-03-01T05:12:06.000Z;"habis vaksin akhirnyaaa ... 
katanya efeknya ngantuk, skrng ngantuk bgt kerja.. tp setiap hari jam segini juga ngantuk 😂🤣";1
7;2021-03-01T06:01:22.000Z;@pozsibru Tapi kan tetap harus di vaksin ya kak poz. Tinggal cari yg less side effect dr 4 pilihan tsb ya.;1
8;2021-03-01T08:43:43.000Z;@Citilink min, klo sdh vaksin, apakah masih perlu swab sblm brgkt?;0
9;2021-03-01T12:34:37.000Z;"💜THREAD💜

VAKSIN COVID-19 BUAT LANSIA
 🧓👨‍🦳

Penting dibahas karena saya punya ibu usia lansia.";1
10;2021-03-01T12:35:49.000Z;Seneng banget pas tahu vaksin Covid-19 sudah bisa digunakan oleh masyarakat. Sejak peluncuran perdananya vaksin ini, saya belum dengar ada masalah yang gimana-gimana sih.;1
11;2021-03-01T13:01:26.000Z;@ramayanti81 @kaesangp Mas @kaesangp saya salah satu yg mengkonsumsi Herbal FRY81 dan alhamdulillah sudah sembuh.. Bisa beraktivitas kembali. Dan ini bentuk Ikhtiar kita utk memutus mata rantai Covid 19 , selain Vaksin.. Dan ibu @ramayanti81 memberikan ini kepada saya secara gratis.;1
12;2021-03-01T13:19:02.000Z;"Kalau secara umum persyaratannya sama aja. Cuma ada pertanyaan ttg kondisi kesehatan &amp; fisik yg mesti ditambahkan. Khususnya soal penyakit yang diidap oleh lansia tersebut karena tidak bisa menerima vaksin.";0
13;2021-03-01T13:21:13.000Z;Penyakit yg tidak bisa menerima vaksin antara lain diabetes, kanker, stroke, hipertensi, serangan jantung, penyakit paru kronis, asma nyeri sendi, penyakit ginjal, dan gagal jantung kongestif. Sepertinya ibu saya tergolong yg tdk bisa divaksinasi karena serangan jantung.;0
14;2021-03-01T14:02:47.000Z;akhirnya minum paracetamol 😂🙌🏻. gak kuat pegel bgt tangan haha. tapi syukur efeknya gak sampe demam atau alergi berat . vaksin aman ~;1
15;2021-03-02T00:08:05.000Z;"Semangat pagi,,, pagi hari dimulai dengan hujan.. semoga berkah...
Tumben pagi ini aku udah di jalan otw kantor...
Sungguh panitia vaksin covid-19 membawa perubahan positif bagiku ;)

Semoga vaksin jg bisa membawa perubahan positif bagi Indonesia. Jangan nakal, ayo vaksin!";1
16;2021-03-02T02:06:41.000Z;Kota Bogor mulai melakukan vaksinasi masal besar2an. Hari ini ada 1500 orang yang akan divaksinasi secara massal di satu tempat saja.;0
17;2021-03-02T02:08:46.000Z;@obsesihanna @bacotuler Vaksin covid pun gitu, walau udah di vaksin masih bisa tertular juga namun lebih imun 3x dr yg tidak vaksin;1
18;2021-03-02T02:27:29.000Z;@DinkesBanten slmt pagi.. saya mau tanya untuk lansia yg berdomisili di pondok jagung tangerang tapi KTP DKI, apakah vaksin bisa dilayani di Tangerang?;0
19;2021-03-02T06:18:02.000Z;@PEMKOT_SOLO Min mau tanya dong, kalo ibu saya punya penyakit stroke apakah dapat vaksinasi untuk tahap ini?;1
20;2021-03-02T06:33:00.000Z;Bercandaan tingkat Menteri Ekonomi ASEAN, ga jauh dari kapan di vaksin, vaksin jenis apa, dan mau beli gadget model apa 😁;0
21;2021-03-02T08:03:29.000Z;Tidak ngantuk sehabis vaksin (kemaren) krn kerjaan buanyaaak 😭😭😭;0
22;2021-03-02T08:07:50.000Z;"Jadi 8 bulanan aja vaksin covid bertahan
Yg pernah kena juga 8 bulan aja imunnya";0
23;2021-03-02T09:19:04.000Z;"@blogdokter dok, td saya ditolak vaksin pas screening krn pernah menerima transfusi.. padahal transfusinya 7 tahun yg lalu..
Memang ada prosedur seperti itu yah?";0
24;2021-03-02T09:23:37.000Z;"@blogdokter Katanya takut ada komplikasi setelah vaksin..
Saya disuruh minta rekomendasi ke dokter penyakit dalam agar bisa divaksin.. ☹";1
